39.7116	30.9151
39.7097	30.9151
39.7097	31.0817
39.7078	31.0817
39.7078	31.1978
39.7060	31.1978
39.7060	31.2933
39.7041	31.2933
39.7041	31.3738
39.7022	31.3738
39.7022	31.4468
39.7004	31.4468
39.7004	31.5124
39.6985	31.5124
39.6985	31.5742
39.6966	31.5742
39.6966	31.6322
39.6947	31.6322
39.6947	31.6865
39.6929	31.6865
39.6929	31.7371
39.6910	31.7371
39.6910	31.7857
39.6891	31.7857
39.6891	31.8326
39.6872	31.8326
39.6872	31.8775
39.6854	31.8775
39.6854	31.9206
39.6835	31.9206
39.6835	31.9636
39.6816	31.9636
39.6816	32.0029
39.6798	32.0029
39.6798	32.0423
39.6779	32.0423
39.6779	32.0816
39.6760	32.0816
39.6760	32.1190
39.6741	32.1190
39.6741	32.1546
39.6723	32.1546
39.6723	32.1902
39.6704	32.1902
39.6704	32.2258
39.6685	32.2258
39.6685	32.2595
39.6667	32.2595
39.6667	32.2913
39.6648	32.2913
39.6648	32.3250
39.6629	32.3250
39.6629	32.3568
39.6610	32.3568
39.6610	32.3868
39.6592	32.3868
39.6592	32.4186
39.6573	32.4186
39.6573	32.4486
39.6554	32.4486
39.6554	32.4785
39.6535	32.4785
39.6535	32.5066
39.6517	32.5066
39.6517	32.5347
39.6498	32.5347
39.6498	32.5628
39.6479	32.5628
39.6479	32.5909
39.6461	32.5909
39.6461	32.6190
39.6442	32.6190
39.6442	32.6452
39.6423	32.6452
39.6423	32.6733
39.6404	32.6733
39.6404	32.6995
39.6386	32.6995
39.6386	32.7257
39.6367	32.7257
39.6367	32.7500
39.6348	32.7500
39.6348	32.7762
39.6329	32.7762
39.6329	32.8006
39.6311	32.8006
39.6311	32.8249
39.6292	32.8249
39.6292	32.8493
39.6273	32.8493
39.6273	32.8736
39.6255	32.8736
39.6255	32.8979
39.6236	32.8979
39.6236	32.9223
39.6217	32.9223
39.6217	32.9448
39.6198	32.9448
39.6198	32.9672
39.6180	32.9672
39.6180	32.9916
39.6161	32.9916
39.6161	33.0140
39.6142	33.0140
39.6142	33.0365
39.6124	33.0365
39.6124	33.0590
39.6105	33.0590
39.6105	33.0796
39.6086	33.0796
39.6086	33.1020
39.6067	33.1020
39.6067	33.1245
39.6049	33.1245
39.6049	33.1451
39.6030	33.1451
39.6030	33.1676
39.6011	33.1676
39.6011	33.1882
39.5992	33.1882
39.5992	33.2088
39.5974	33.2088
39.5974	33.2294
39.5955	33.2294
39.5955	33.2500
39.5936	33.2500
39.5936	33.2706
39.5918	33.2706
39.5918	33.2912
39.5899	33.2912
39.5899	33.3099
39.5880	33.3099
39.5880	33.3305
39.5861	33.3305
39.5861	33.3511
39.5843	33.3511
39.5843	33.3698
39.5824	33.3698
39.5824	33.3885
39.5805	33.3885
39.5805	33.4091
39.5786	33.4091
39.5786	33.4278
39.5768	33.4278
39.5768	33.4466
39.5749	33.4466
39.5749	33.4653
39.5730	33.4653
39.5730	33.4840
39.5712	33.4840
39.5712	33.5027
39.5693	33.5027
39.5693	33.5215
39.5674	33.5215
39.5674	33.5402
39.5655	33.5402
39.5655	33.5589
39.5637	33.5589
39.5637	33.5776
39.5618	33.5776
39.5618	33.5945
39.5599	33.5945
39.5599	33.6132
39.5581	33.6132
39.5581	33.6301
39.5562	33.6301
39.5562	33.6488
39.5543	33.6488
39.5543	33.6656
39.5524	33.6656
39.5524	33.6844
39.5506	33.6844
39.5506	33.7012
39.5487	33.7012
39.5487	33.7181
39.5468	33.7181
39.5468	33.7368
39.5449	33.7368
39.5449	33.7536
39.5431	33.7536
39.5431	33.7705
39.5412	33.7705
39.5412	33.7873
39.5393	33.7873
39.5393	33.8042
39.5375	33.8042
39.5375	33.8210
39.5356	33.8210
39.5356	33.8379
39.5337	33.8379
39.5337	33.8547
39.5318	33.8547
39.5318	33.8697
39.5300	33.8697
39.5300	33.8866
39.5281	33.8866
39.5281	33.9034
39.5262	33.9034
39.5262	33.9184
39.5243	33.9184
39.5243	33.9353
39.5225	33.9353
39.5225	33.9521
39.5206	33.9521
39.5206	33.9671
39.5187	33.9671
39.5187	33.9839
39.5169	33.9839
39.5169	33.9989
39.5150	33.9989
39.5150	34.0158
39.5131	34.0158
39.5131	34.0307
39.5112	34.0307
39.5112	34.0457
39.5094	34.0457
39.5094	34.0626
39.5075	34.0626
39.5075	34.0776
39.5056	34.0776
39.5056	34.0925
39.5038	34.0925
39.5038	34.1075
39.5019	34.1075
39.5019	34.1225
39.5000	34.1225
39.5000	34.1393
39.4981	34.1393
39.4981	34.1543
39.4963	34.1543
39.4963	34.1693
39.4944	34.1693
39.4944	34.1843
